Date,Title,description
4/13/17,A third of borrowers have little to no mortgage buffer: RBA,The Reserve Bank expresses concern that a third of Australian borrowers have little to no buffer on their home loan repayments.
4/13/17,"After Campaign Exit, Manafort Borrowed From Businesses With Trump Ties",A shell company created by Paul Manafort the same day he left the presidential campaign quickly received $13 million in loans from the businesses.
4/13/17,Airstrike by U.S.-Led Coalition Mistakenly Kills 18 Allies in Syria,The U.S.-led military coalition battling Islamic State mistakenly killed 18 of its own allies in a misdirected airstrike in Syria.
4/13/17,AmericaÕs woeful image among travellers is self-perpetuating,People are keen for more horror stories
4/13/17,An Hour of Running May Add 7 Hours to Your Life,"Runners tended to live about three more years than nonrunners, even if they run slowly or sporadically and smoke, drink or are overweight."
4/13/17,Assad dismisses Syrian gas attack as '100 per cent fabrication',Syrian President Bashar al-Assad says an alleged poison gas attack blamed on his Government was 100 per cent fabrication.
4/13/17,Assad says Syria chemical attack that killed dozens is 'fabrication',President dismisses evidence from weapons experts who found traces of nerve agent in samples from Khan Sheikhun
4/13/17,"Behind closed doors, Trump signs bill allowing states to strip federal family planning funds from abortion providers",Abortion-rights advocates said the rule would deny as many as 4 million Americans access to birth control and other family planning services.
4/13/17,"Big Sur usually canÕt keep people away. Right now, itÕs practically deserted.",Sudden isolation delivers frustrations Ñ and bliss Ñ to residents of a scenic stretch of California coast after heavy rains cut off part of the main highway.
4/13/17,Big US banks defy calls that they should be broken up,Executives say bigger is better as Wall St trading offsets retail banking weakness
4/13/17,Boycotting United Will Never Work. HereÕs Why,Angry about what happened in Chicago? The airline monopoly leaves you with few choices.
4/13/17,Brazilian President Michel Temer Allegedly Linked to $40 Million Bribe,Brazilian President Michel Temer held a meeting in 2010 where a former Odebrecht executive said he agreed to pay a $40 million bribe to Mr. TemerÕs PMDB party in exchange for a construction contract.
4/13/17,British intelligence passed Trump associates' communications with Russians on to US counterparts,British and other European intelligence agencies intercepted communications between Trump associates and Russian officials during the campaign and passed on those communications to their US counterparts
4/13/17,British spies were first to spot Trump team's links with Russia,Exclusive: GCHQ is said to have alerted US agencies after becoming aware of contacts in 2015
4/13/17,Burger King activates a Google Home controversy,Our devices are talking to each other Ñ and this can be unhelpful
4/13/17,Canada is poised to approve a law legalizing marijuana nationwide,The bill would make Canada the second country in the world to fully legalize recreational marijuana use.
4/13/17,"CarÕs Data Transmitter Can Be Hacked to Take Control, Firm Says","An Israeli cybersecurity firm is raising fresh concerns about hackers taking control of moving cars, remotely shutting down an engine with the help of a smartphone app, a Bluetooth connection and a carÕs data transmitter."
4/13/17,Cause of Death Unknown for New York Judge Found Dead in Hudson River,"The day after a judge from New YorkÕs highest court was found dead in the Hudson River, the stateÕs legal community offered an outpouring of support, even as the cause of her death remained unknown."
4/13/17,Chechens tell of prison beatings and electric shocks in anti-gay purge: ÔThey called us animalsÕ,Up to several hundred gay men are feared to have been rounded up and some killed in ultra-conservative Russian republic
4/13/17,ChinaÕs Crusade to Prop Up the Yuan Imperils Other Pressing Mandates,"Defending the currency is the central bankÕs top priority as it aims to stem capital flight and offer a defense against TrumpÕs trade rhetoric, but the shift threatens to shortchange the bankÕs tasks of safeguarding economic growth."
4/13/17,ChinaÕs elite boarding schools,"In a country where siblings are so rare, many see communal living as good for their offspring"
4/13/17,ChinaÕs first-quarter GDP: 4 things to watch,Economy expected to top 6.5 per cent growth but concerns linger over rampant credit
4/13/17,ChinaÕs Gamble: How a Crusade to Prop Up the Yuan Imperils Other Pressing Mandates,"Defending the currency is the central bankÕs top priority as it aims to stem capital flight and offer a defense against TrumpÕs trade rhetoric, but the shift threatens to shortchange the bankÕs tasks of safeguarding economic growth."
4/13/17,CIA Director Pompeo Calls WikiLeaks ÔHostileÕ Entity ÔOften Abetted By State Actors Like RussiaÕ,"Central Intelligence Agency Director Mike Pompeo on Thursday called the website WikiLeaks a Ònonstate hostile intelligence service,Ó likening it to a foreign government that attempts to undermine U.S. interests and conduct espionage."
4/13/17,Credit Suisse Leaders Cut Their Bonuses 40% After Backlash,Credit Suisse Group AG leaders including Chief Executive Officer Tidjane Thiam offered to have their bonuses cut 40 percent after a growing chorus of investor advisory groups opposed the packages ahead of this yearÕs annual meeting.
4/13/17,Data watchdog looks at whether No 10 covered up Uber correspondence,Information CommissionerÕs Office investigates amid claims Cameron tried to protect taxi app from tougher regulation
4/13/17,Democrats Want Guarantee for Health Subsidies After Trump Threat,"Congressional Democrats are warning they will fight to prevent President Donald Trump from withholding payments used to subsidize insurance costs for poor AmericansÊunder Obamacare, signalling the issue could become part of theÊdebate to avoid a government shutdown at the end of April."
4/13/17,Doctor Dragged From United Airlines Flight Prepares Lawsuit,An attorney for the passenger dragged off a United Airlines flight this week said his client was preparing to sue and that his treatment by United reflected the plight of many airline customers across the U.S.
4/13/17,"Doctor Dragged From United Flight Suffered Concussion, Attorney Says","An attorney for David Dao, the passenger who was dragged off a United Airlines flight, said at a news conference Thursday that Dr. Dao suffered a concussion while he was being removed and will likely sue."
4/13/17,Doctor dragged off United flight suffered broken nose,Lawyer for David Dao says his client will ÔprobablyÕ file lawsuit against the airline
4/13/17,Doctor suicides prompt calls for overhaul of mandatory reporting laws,The suicides of three young doctors within just five months prompts calls for a review of mandatory reporting laws.
4/13/17,"FCCÕs TV Airwaves Auction Drew $19.8 Billion, Led by T-Mobile","T-Mobile US Inc., Dish Network Corp. and Comcast Corp. were among the top buyers in the U.S. governmentÕs auction of airwaves, which drew $19.8 billion in bids."
4/13/17,"For Afghan refugees, there's no going back","Quietly coercing 600,000 Afghan refugees in 2016 to return to their home country, Pakistan is triggering a humanitarian catastrophe in Afghanistan, writes Gerry Simpson of Human Rights Watch."
4/13/17,GAO launches probe of Trump transition,"The investigation will focus on the transition's public spending, private fundraising and how it managed communications with foreign governments."
4/13/17,Gunshot accidents in America are on the decline,"Unsurprisingly, states with more guns suffer most"
4/13/17,How the Bible Belt lost God and found Trump,"HeÕs a divorced adulterer who ran a gambling empire, so how did AmericaÕs Moral Majority get so evangelical about Donald Trump?"
4/13/17,"In Ending Ex-Im Bank Impasse, Trump Sides With Business Establishment","When President Donald Trump signaled he would end a yearslong debate within the Republican Party over the future of the U.S. Export-Import Bank, he sided with the business establishment over conservative Republicans who wanted to cripple it."
4/13/17,Is there life on one of Saturn's moons?,"The likelihood of one of Saturn's moons, Enceladus, harbouring life has received a huge boost, thanks to the discovery of a key element spewing from its surface."
4/13/17,Israeli Arabs develop a liking for matzo,The latest example of culinary sharing
4/13/17,"J.P. Morgan, CitiÊScore Big Gains, but Shareholders Want More",Some of the nationÕs largest banks warned Thursday that the benefits investors anticipated from rising interest rates and the election of Donald Trump as president arenÕt panning out quite as quickly as many had hoped.
4/13/17,"J.P. MorganÕs Earnings Climb, Boosted by Bond Trading","J.P. Morgan posted a 17% rise in first-quarter profit that was driven by a continued rebound in areas such as bond trading, while lending margins expanded as rates recently ticked up."
4/13/17,JPMorgan tops forecasts on record investment bank revenues,Retail unit disappoints as income from mortgage business slumps
4/13/17,Kim Jong Un shows off new symbol of strength,"We were told we were going to a ""major event."" That usually means Kim Jong Un will be there. But where? And why?"
4/13/17,Kim Jong UnÕs rockets are getting an important boost Ñ from China,"Even as China vows a tougher line, some firms sell banned technology to North Korea."
4/13/17,"Kim Jong-nam murder accused fear 'trial by ambush', lawyer says",Two women charged with killing Kim Jong-nam appear in a Malaysian court wearing bulletproof vests.
4/13/17,KPMG scandal highlights problem of auditingÕs revolving door,Five partners at accountancy firm failed to act on danger posed by secret tipster
4/13/17,Lawyer for United passenger: Dragging incident was more horrifying than when he fled Vietnam,"David Dao suffered a serious concussion, broken nose, lost two front teeth and other injuries, his attorney said."
4/13/17,"Man dragged off United flight was injured, will file suit, lawyer says","The passenger forcefully removed from a United Airlines flight this week has a concussion and broken nose, his attorney told reporters Thursday, adding that the 69-year-old physician will file a lawsuit."
4/13/17,"Marine pleads guilty to lying in sexual misconduct case, says he Ôcrossed the lineÕ","Marine Maj. Mark Thompson, a former U.S. Naval Academy instructor, was charged after The Washington Post uncovered evidence that he deceived military officials."
4/13/17,Maryland Six Flags roller coaster glitch strands 24 riders,"By about 9:20 p.m., all the riders were back on the ground and safe."
4/13/17,Mexican authorities arrest suspect in killing of a U.S. Border Patrol agent,A suspect in the 2010 slaying of Border Patrol Agent Brian Terry has been arrested in Mexico.
4/13/17,Misdirected US air strike kills 18 rebel allies in Syria,Pentagon reveals Kurdish SDF forces hit in attack intended to target Isis forces
4/13/17,"Most of Labour's support is down to Corbyn, Diane Abbott says","Party could fall to below 10% in polls if leaderÕs critics try to replace him, says shadow home secretary"
4/13/17,MS-13 gangsters suspected in Long Island quadruple murder,Long Island police discovered the bodies of four slain men in the woods at a Central Islip park Ñ possible victims of ongoing gang warfare.
4/13/17,"Musk Lays Out Timeline for Tesla Semi Truck, Electric Pickup","Tesla Inc.Õs plans to pad its lineup of electric vehicles are taking shape, with Elon Musk sketching out a timeline for the arrival of a semi truck, pickup and sports car."
4/13/17,NASA: Nearby ocean worlds could be best bet for life beyond Earth,NASA has new evidence that the most likely places for finding life beyond Earth are either Jupiter's moon Europa or Saturn's moon Enceladus.
4/13/17,"New York judge's death a possible suicide,  law enforcement sources say","Sheila Abdus-Salaam, the first African-American woman appointed to the New York Court of Appeals, was found dead in the Hudson River. The investigation points to a possible suicide, two law enforcement sources say."
4/13/17,NYPD Investigating JudgeÕs Death as a Suicide,"Police are investigating the death of a New York judge whose body was pulled from the Hudson River as a likely suicide, confounding colleagues, friends and neighbors in her close-knit Harlem community."
4/13/17,"One in four young women in UK report mental health problems, study shows",Office for National Statistics finds increase between 2009-10 and 2014-15 and greater incidence compared with young men
4/13/17,Outed as Transgender on ÔSurvivorÕ Ñ and in Real Life,Do transgender people have an obligation to be open about their history?
4/13/17,"Passenger dragged on United suffered concussion, broken nose: lawyer","The United Airlines passenger dragged from a plane in Chicago in an incident that sparked international outrage and turned into a corporate public relations nightmare suffered a concussion and broken nose and will likely sue, his attorney said on Thursday."
4/13/17,"Perspective | On Easter, Mary Magdalene will be maligned as a prostitute. Except she wasnÕt.",She has spent two millennia being reduced to a seductress. Now thereÕs a social media campaign to restore her good name.
4/13/17,President Trump today: Live updates,"In the first 84 days of his presidency, Trump has flipped on NATO, Syria, Russia and China. We're covering his administration's latest moves today."
4/13/17,Putin meets Tillerson to discuss Russia-US 'deadlock',"Russian President Vladimir Putin's impromptu meeting with US Secretary of State Rex Tillerson has not eased tensions between the two countries, the Kremlin says."
4/13/17,Relations between America and Russia are at a low point,The meeting between Rex Tillerson and Vladimir Putin was far from cordial
4/13/17,Republican House leader avoids selling GOP health-care plan at home,Oregon Rep. Greg Walden talked about the aspects of Obamacare the GOP plan contains.
4/13/17,Russia pulls out of Eurovision after singer barred from Ukraine,Julia Samoylova had been banned by hosts after touring disputed Crimea
4/13/17,"Small Saturn moon has most conditions needed to sustain life, Nasa says","Space organization finds that hydrogen erupts out of underground ocean on Enceladus, meaning it has the water, chemistry and energy sources life requires"
4/13/17,Spider photographer documents discovery of 56 new species,Getting up close with a huntsman the size of a small dinner plate and a scuba-diving tarantula Ñ it's all in a day's work for citizen scientist Robert Whyte.
4/13/17,The astonishing reinvention of Donald Trump,US president has quickly adopted the stance of the Washington insider
4/13/17,"The Daily 202: TrumpÕs lurch toward corporatism, globalism shows why BannonÕs marginalization matters",Eight flip-flops in one day
4/13/17,The Latest Test for the White House? Pulling Off Its Easter Egg Roll,"With key staff positions unfilled and no on-site first lady, the White House is trying to organize the most elaborate and heavily scrutinized public event of the year."
4/13/17,"This Easter, eat all your eggs then think of the Egyptians","At the heart of most religious traditions is a deep respect for silence, meditation, prayer and solitude, writes Julia Baird."
4/13/17,This Electric Car Startup Is Missing Just One Thing: Cash,Electric-car startup Lucid Motors Inc. has a team recruited from Tesla Inc. and a slick concept that boasts impressive performance. Now itÕs going to need some money.
4/13/17,Tillerson and Putin Find Little More Than Disagreement in Meeting,"Secretary of State Rex W. Tillerson and President Vladimir V. Putin of Russia appeared unable to agree on the facts on contentious issues, much less improve relations."
4/13/17,Trudeau unveils bill legalizing recreational marijuana in Canada - The Boston Globe,"Canada would become only the second nation, after Uruguay, to completely legalize marijuana as a consumer product."
4/13/17,Trump administration halts Obama-era rule aimed at curbing toxic wastewater from coal plants,"The regulation went into effect in 2015, but the energy industry has appealed to the Trump administration to revisit it."
4/13/17,Trump breaks key rule for presidents: Don't talk down the dollar,"For decades, U.S. presidents have observed a couple rules about the dollar. Trump broke them on Wednesday."
4/13/17,Trump can start cutting the federal workforce right now,"Federal agencies can proceed with buyouts and stop filling jobs, but Congress could make it hard for the Trump administration to make widespread, longer-term staff cuts."
4/13/17,"Trump reverses himself on NATO, China, Russia and more","President Donald Trump hasnÕt been in the White House for 100 days, yet heÕs already reversed himself on many of his key campaign promises."
4/13/17,"Trump Undercuts Bannon, Whose Job May Be in Danger","President Trump said Mr. Bannon was not the chief strategist of his campaign victory, distancing himself from the contentious hard-right adviser who is increasingly isolated in the White House."
4/13/17,Trump won't say if he greenlit use of 'mother of all bombs',The United States on Thursday dropped the most powerful non-nuclear bomb in its military arsenal for the first time in history.
4/13/17,Trump's Syria strike a warning to North Korea's provocations,"Donald Trump has demonstrated a willingness to follow up a threat with an actual military response, writes Philip Williams."
4/13/17,U.S. berates Syria at OPCW meeting on Syria chemical attack,"Syrian authorities Ñ Òabetted by RussiaÕs continuing efforts to bury the truthÓ Ñ still possess and use chemical weapons, an American diplomat told the international chemical weapons watchdog on Thursday."
4/13/17,U.S. Braces for Next Provocation From North Korea,"North Korea appears prepared to stage its sixth nuclear weapons test as soon as this weekend, officials say, placing immediate pressure on President Donald Trump and his efforts to improve bilateral relations with China."
4/13/17,U.S. Drops ÔMother of All BombsÕ on ISIS Tunnels in Afghanistan,"The U.S. military dropped one of the largest nonnuclear bombs in its arsenal on an Islamic State tunnel-and-cave complex in eastern Afghanistan, the Pentagon said."
4/13/17,"U.S. drops ""mother of all bombs"" on ISIS tunnel complex in Afghanistan","U.S. forces dropped one of the biggest non-nuclear weapons in its arsenal in a large-scale strike against ISIS in eastern Afghanistan on Thursday, according to Pentagon officials. Officials did not know how many ISIS fighters were killed or if any civilians perished in the attack."
4/13/17,U.S. Drops Its Largest Nonnuclear Bomb on ISIS Tunnel Complex in Afghanistan,"The U.S. military dropped the largest nonnuclear bomb in its arsenal Thursday on an Islamic State tunnel complex in eastern Afghanistan, the Pentagon said."
4/13/17,U.S. Drops the Military's Biggest Non-Nuclear Bomb in Afghanistan,"The U.S. dropped the largest non-nuclear bomb itÕs ever used in combat on Islamic State positions in Afghanistan Thursday night, a move the Trump administration said was aimed at denying the groupÕs freedom of movement."
4/13/17,U.S. may launch strike if North Korea reaches for nuclear trigger,"The U.S. is prepared to launch a strike with conventional weapons against North Korea should officials become convinced that North Korea is about to follow through with a nuclear weapons test, multiple senior U.S. intelligence officials told NBC News.North Korea has warned that a ""big event"" is near, and U.S. officials say signs point to a nuclear test that could come as early as this weekend.The intelligence officials told NBC News that the U.S. has positioned two destroyers capable of shooting Tomahawk cruise missiles in the region, one just 300 miles from the North Korean nuclear test site.American heavy bombers are also positioned in Guam to attack North Korea should it be necessary, and earlier this week, the Pentagon announced that the USS Carl Vinson aircraft carrier strike group was being diverted to the area. Tune in to ""NBC Nightly News with Lester Holt"" Thursday for more."
4/13/17,"U.S. military drops 22,000-pound bomb on Islamic State forces in Afghanistan",The bomb has similar effects to a nuclear explosion.
4/13/17,"U.S.-led coalition accidentally bombs Syrian allies, killing 18",The bombing is the worst friendly-fire incident of the anti-ISIS war.
4/13/17,UK denies residency to London-born children of Dutch-Spanish couple,Children of couple who have lived in UK for decades told to prove they live permanently with parents
4/13/17,"United passenger dragged from plane has concussion, broken nose: lawyer","The United Airlines passenger dragged from a plane in Chicago in an incident that sparked international outrage and turned into a corporate public relations nightmare suffered a concussion and broken nose and will likely sue, his attorney said on Thursday."
4/13/17,"United passenger dragged off plane likely to sue airline, attorney says","Public outrage over David Dao being forcibly removed from flight strengthens potential lawsuit on personal injury or contract claims, legal representatives say"
4/13/17,United passenger: Dragging incident more horrifying than when he fled Vietnam,New witness account: There was chaos and blood as officers struggled to remove David Dao.
4/13/17,"US drops largest ever non-nuclear bomb on Isis affiliate in Afghanistan, military says","GBU-43/B, known as the Ômother of all bombsÕ, dropped for the first time, to target Ôtunnel complexÕ used by Islamic State in Khorosan"
4/13/17,US drops largest non-nuclear bomb in Afghanistan,"The US military dropped America's most powerful non-nuclear bomb on ISIS targets in Afghanistan Thursday, the first time this type of weapon has been used in battle, according to US officials."
4/13/17,"Westminster attack: Masood did act alone, police conclude",Counter terrorism officials seek no one else but reconsider how to stop unsophisticated attacks like Khalid MasoodÕs atrocity
4/13/17,What next? Scorpion stings man on United Airlines flight,"The same day a passenger was infamously dragged off a United plane in Chicago, a man on a United flight from Houston to Calgary was allegedly stung by a scorpion."
4/13/17,What restaurant inspectors found wrong in TrumpÕs Mar-a-Lago kitchen,"The violations included storing meats at improper temperatures and lax inspection of raw seafood, according to the agency."
4/13/17,Why Trump's Weak-Dollar Policy Threatens the U.S. Stock Rally,Donald TrumpÕs supportÊfor a weaker dollar has the potential to torpedo a key tax-reform proposal that has served as one of the main catalysts of the U.S. stock market rally.
4/13/17,"With $6.2 Billion Spectrum Spree, Ergen Buys Himself Options","Dish Network Corp. spent a surprising $6.2 billion on wireless airwaves in a government auction, a big splurge that did little to address questions about the endgame for billionaire Charlie ErgenÕs satellite company."
4/13/17,"Within TrumpÕs inner circle, a moderate voice captures the presidentÕs ear","NEC Director Gary Cohn, former president of Goldman Sachs, raises his profile by strengthening his reputation as a dealmaker."
4/14/17,'Mother of all bombs': US drops biggest non-nuclear weapon ever used,The US drops the biggest non-nuclear bomb it has ever used in combat in eastern Afghanistan targeting Islamic State militants.
4/14/17,'The tune of my generation': Artists pick their perfect Rage playlists,"As Rage celebrates its 30th birthday, a group of Australian musical stalwarts and newcomers reveal their perfect five-song playlist."
4/14/17,'The whole house started to rattle': Earthquake hits NSW,A magnitude 4.3 earthquake causes a gold mine to be evacuated and provides an early-morning shock for people in the NSW regional centre of Orange.
4/14/17,Bryan Dawe pays tribute to 'genius' collaborator John Clarke,"Bryan Dawe speaks publicly about the life of his long-time collaborator, political satirist John Clarke, following his satirical companion's sudden death last weekend."
4/14/17,CIA director brands WikiLeaks a 'hostile intelligence service',"Mike Pompeo said WikiLeaks founder Julian Assange portrays himself as a crusader but in fact helps enemies of the United States, including Russia"
4/14/17,Credit Suisse executives agree 40% cut to their bonuses,Move by 12-strong board comes after fierce backlash to proposed SFr78m of awards
4/14/17,Donald Trump made good on his campaign promise about ISIS today,"President Trump spent much of the last week reversing positions he staked out either during the 2016 campaign or in the early months of his presidency. On Thursday, he did something actually consistent with what he promised on the campaign trail: He authorized the dropping of a MOAB bomb on a suspected ISIS camp in Afghanistan."
4/14/17,Donald TrumpÕs Recent Policy Reversals Reflect Business Influence,"President Donald TrumpÕs reliance on former corporate executives in his White HouseÑand business leaders outside of itÑhelped shape this weekÕs reversals on several hard-line positions that defined his campaign, according to officials."
4/14/17,"For two dozen, getting stuck on Six Flags ride no joking matter","Two dozen riders were stuck on a stalled roller coaster for more than three hours Thursday night at Six Flags America in Largo, Maryland, authorities said."
4/14/17,How one Chinese rural county spawned four courier empires,Poor villagersÕ ability to Ôeat bitterÕ allowed them to ride ChinaÕs e-commerce boom
4/14/17,Man shot dead by police during traffic stop in Perth,A 29-year-old man police say was armed with a stolen shotgun is shot dead by officers during a traffic stop in Perth's east.
4/14/17,Nigeria's anti-corruption unit finds $43 million cash in Lagos apartment,The bust is the latest in a string of raids this week thanks to a new whistle-blowing policy.
4/14/17,Nintendo Shares Jump After Switch Sets U.S. Sales Records,Nintendo Co. shares jumped as much as 4 percent after the company said its new SwitchÊconsole is off to a record-setting pace in the U.S. since its March 3 debut.
4/14/17,Outcry after Survivor contestant outed as transgender by rival,LGBT rights group says Jeff Varner revealing Zeke Smith as transgender on reality TV show was Ôdangerous and unacceptableÕ
4/14/17,Qantas passengers recall scenes from 'stick shaker' incident,Passengers who were onboard  recall mixed scenes from inside the fuselage during the 'stick shaker' incident that left 15 people injured.
4/14/17,Sydney teen dies after being shot in home,"A 15-year-old boy dies in hospital after being shot in the head while he slept this morning, in what police are calling a targeted attack."
4/14/17,Teen guilty in fatal Delaware high school fight,A Delaware teenager was convicted Thursday of criminally negligent homicide in the beating death of a schoolmate last year in a high school bathroom.
4/14/17,Toshiba Stock Pares Losses on Report of Apple Investing in Chips,"Toshiba Corp. shares recovered after JapanÕs national broadcaster reported that Apple Inc. is considering an investment of several billion dollars in its semiconductor unit, raising the prospect that the struggling electronics conglomerate will get a much-needed cash infusion."
4/14/17,Trump Shifts Back to Health Care,President Donald Trump said three weeks ago that he wanted to put the defeat of the health-care overhaul behind him and focus efforts on his pledge to change the tax code. Health care is now back at the top of the agenda.
4/14/17,TrumpÕs foreign exchange wobbles risk backlash at home,US president abandons campaign pledge to brand China a currency manipulator
4/14/17,What is the Mother Of All Bombs?,What is the Mother Of All Bombs? Where did it come from? And why is it being used now?
4/14/17,Why the 'mother of all bombs' and why now?,"Peter Bergen says the use of the bomb should be understood as part of an effort to reverse a war that is not going well for the Afghan government and, by extension, the United States."
4/15/17,East GermanyÕs population is shrinking,"The rest of the country, and large swathes of Europe, will face similar problems in future"
4/15/17,Turkey is sliding into dictatorship,Recep Tayyip Erdogan is carrying out the harshest crackdown in decades. The West must not abandon Turkey
4/27/17,Analysis | TrumpÕs rather weird meeting with the 2017 Teachers of the Year,How the event departed from the past.
4/27/17,There Is a Right Way to Wash Your Hair,"Christophe Robin, the star Parisian colorist, explains how to shampoo for maximal volume and shine. He also has a neat trick or two."
4/27/17,United Airlines changes its policy on bumping passengers,But legislation may still be needed
4/27/17,What people want at the end of life,We conducted a survey in four countries to find out
4/27/17,Saudi ArabiaÕs young prince U-turns on reform,Cuts to pay and perks for government workers are abruptly reversed
4/27/17,Europhiles happy about France should worry about Poland,"In EuropeÕs illiberal east, populist nationalism is alive and well"
4/27/17,The thawing Arctic threatens an environmental catastrophe,Commercial opportunities are vastly outweighed by damage to the climate
4/27/17,Saudi ArabiaÕs young prince U-turns on reform,Cuts to pay and perks for government workers are abruptly reversed
4/27/17,Europhiles happy about France should worry about Poland,"In EuropeÕs illiberal east, populist nationalism is alive and well"
4/27/17,The thawing Arctic threatens an environmental catastrophe,Commercial opportunities are vastly outweighed by damage to the climate
4/27/17,Saudi ArabiaÕs young prince U-turns on reform,Cuts to pay and perks for government workers are abruptly reversed
4/27/17,Europhiles happy about France should worry about Poland,"In EuropeÕs illiberal east, populist nationalism is alive and well"
4/27/17,The thawing Arctic threatens an environmental catastrophe,Commercial opportunities are vastly outweighed by damage to the climate
4/27/17,Saudi Arabia‰ó»s young prince U-turns on reform,Cuts to pay and perks for government workers are abruptly reversed
4/27/17,Europhiles happy about France should worry about Poland,"In Europe‰ó»s illiberal east, populist nationalism is alive and well"
4/27/17,The thawing Arctic threatens an environmental catastrophe,Commercial opportunities are vastly outweighed by damage to the climate
4/28/17,ÔPeak TVÕ paradox: Why so much great TV has become such bad news for writers,"Viewers of television may love all the new shows, but writers have seen a big pay cut."
4/28/17,A charter flight left the U.S. carrying 8 Iraqis. A community wonders who will be next.,"The deportations quietly signaled a major shift in U.S. policy. Chaldean Catholics living in Michigan worry theyÕll be forced to return to a country they donÕt know, and some believe they will be persecuted there."
4/28/17,AmericaÕs economic growth slows to 0.7%,"Consumer spending is slowing, but investment is picking up"
4/28/17,BlackRock's Fink Says U.S. on Path to 'Exploding' Deficits,"The Trump administrationÕs tax proposals are unlikely to spur enough economic growth to reduce U.S. deficits, BlackRock Inc.Õs Larry Fink said Friday."
4/28/17,"Buses torched, roads blocked, clashes during Brazil strike","Protesters lit buses on fire, blocked roads and clashed with police on Friday during a general strike that brought transportation to a halt in many cities across Latin AmericaÕs largest nation."
4/28/17,Congress passes spending deal to keep the federal government open another week,House and Senate negotiators are set to work through the weekend to finalize a longer-term deal that would fund the government through the end of the fiscal year in September.
4/28/17,Congress settles for stopgap to avoid government shutdown,"Congress took the easy way out to keep the government open on the eve of Donald TrumpÕs 100th day in office, passing a weeklong stopgap spending bill Friday that amounted to more of a defeat for the president than a victory."
4/28/17,"Cops: Teacher told girl to kill herself, forced other kids to bully her","When the teacher was removed from school, another continued the abuse, deputies say."
4/28/17,"Dear Uber, That Record Funding Means Didi Is Coming for You",The worldÕs two most-valuable startups are ride-hailing companies with a sleek vision of a driverless future they would own.
4/28/17,DonÕt Believe the Hype: Fyre Festival Flops,"The much-hyped Fyre Festival has gone up in flamesÑwith organizers abruptly canceling the high-end concert in the Bahamas, where stranded attendees were trying desperately to get home."
4/28/17,Donald Trump Returns to a Keystone of His Win on 100th Day,"President Donald Trump returnsÊSaturdayÊto a state that proved crucial to his election victory, appearing at a rally in Pennsylvania to mark his 100thÊday in office."
4/28/17,Donald TrumpÕs first 100 days,The president has sought to divide and conquer America
4/28/17,EPA website removes climate science site from public view after two decades,"The Environmental Protection Agency announced Friday evening its website would be Òundergoing changesÓ to better represent the new direction the agency is taking, triggering the removal of several agency websites containing detailed climate data and scientific information."
